,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
120,severo-kurilsk,ru,"{'lon': 156.125, 'lat': 50.67889}",2121385,50.68,156.12,1505230860,45.97,100,0,9.26,1505271600,51.57,87,0,12.66,1505239200,1505660400,48.342,95.3,35.4,8.8765
121,bukama,cd,"{'lon': 25.85, 'lat': -9.2}",217834,-9.2,25.85,1505230861,94.21,22,0,5.41,1505304000,93.67,32,0,6.51,1505239200,1505660400,79.65325,48.975,0.4,4.601000000000001
122,provideniya,ru,"{'lon': -173.300003, 'lat': 64.383331}",4031574,64.38,-173.3,1505230861,39.04,100,48,19.73,1505271600,40.59,100,48,7.96,1505239200,1505660400,42.658500000000004,100.0,60.1,13.64675
123,paraiso,mx,"{'lon': -93.23333, 'lat': 18.4}",3521912,18.4,-93.23,1505227440,78.8,83,40,9.17,1505325600,83.38,97,32,12.26,1505239200,1505660400,82.84475,96.2,32.2,10.134
124,sinfra,ci,"{'lon': -5.91667, 'lat': 6.61667}",2281606,6.62,-5.92,1505230863,76.57,85,88,4.41,1505314800,80.28,83,88,3.15,1505239200,1505660400,76.24674999999999,89.7,68.9,3.636
125,nanakuli,us,"{'lon': -158.154724, 'lat': 21.39056}",5851349,21.39,-158.15,1505228280,71.19,100,1,3.4,1505260800,82.44,82,44,6.17,1505239200,1505660400,79.11550000000001,92.425,20.4,6.912999999999999
126,tahta,eg,"{'lon': 31.50214, 'lat': 26.7693}",347634,26.77,31.5,1505230864,102.49,25,12,7.81,1505304000,101.41,28,0,10.76,1505239200,1505660400,82.61425,43.475,3.9,8.29725
127,litoral del san juan,co,"{'lon': -76.7336521, 'lat': 4.2006777}",0,4.2,-76.73,1505230865,70.36,100,92,3.0,1505314800,77.04,94,64,3.49,1505239200,1505660400,72.2035,96.2,85.2,2.743
128,itarema,br,"{'lon': -39.91673979999999, 'lat': -2.9209642}",0,-2.92,-39.92,1505230865,90.34,54,0,16.37,1505239200,91.83,50,20,14.47,1505239200,1505660400,83.47349999999999,61.825,2.4,16.4055
129,port hardy,ca,"{'lon': -127.419853, 'lat': 50.699619}",6111862,50.7,-127.42,1505228400,50.0,93,75,5.82,1505250000,57.8,82,20,8.75,1505239200,1505660400,53.09100000000001,86.6,28.3,4.76075
130,ialibu,pg,"{'lon': 143.993546, 'lat': -6.28208}",2095925,-6.28,143.99,1505230867,52.36,97,36,1.05,1505271600,72.0,63,8,1.92,1505239200,1505660400,58.089,93.9,74.8,1.60925
131,summerside,ca,"{'lon': -63.787621, 'lat': 46.395931}",6159244,46.4,-63.79,1505228400,60.8,67,40,11.41,1505325600,67.81,90,0,8.57,1505239200,1505660400,62.674749999999996,86.325,30.5,8.44025
132,luderitz,na,"{'lon': 15.15944, 'lat': -26.64806}",3355672,-26.65,15.16,1505228400,64.4,68,0,10.29,1505304000,61.63,85,0,17.69,1505239200,1505660400,58.164750000000005,84.725,6.2,15.06175
133,chissamba,ao,"{'lon': 17.33333, 'lat': -12.16667}",3349580,-12.17,17.33,1505228400,84.2,25,20,11.41,1505304000,88.45,27,0,6.96,1505239200,1505660400,72.38149999999999,48.325,4.4,5.283
134,saint-philippe,re,"{'lon': 55.76667, 'lat': -21.35}",6690301,-21.35,55.77,1505228400,73.4,60,90,13.87,1505282400,72.19,100,8,12.91,1505239200,1505660400,72.197,100.0,19.8,11.0155
136,bengkulu,id,"{'lon': 102.265541, 'lat': -3.80044}",1649150,-3.8,102.27,1505230870,80.17,100,20,10.16,1505282400,82.62,98,24,10.22,1505239200,1505660400,79.4865,99.725,44.9,7.3092500000000005
137,turukhansk,ru,"{'lon': 87.98333, 'lat': 65.816673}",1488903,65.82,87.98,1505230871,41.38,91,80,4.74,1505282400,42.21,100,92,12.01,1505239200,1505660400,37.74225,94.225,76.2,7.3965000000000005
138,leningradskiy,ru,"{'lon': 178.416672, 'lat': 69.383331}",2123814,69.38,178.42,1505230871,33.82,100,56,3.62,1505271600,36.63,99,88,12.66,1505239200,1505660400,35.031,99.875,68.9,17.673750000000002
139,sandakan,my,"{'lon': 118.117897, 'lat': 5.8402}",1734052,5.84,118.12,1505228400,77.0,100,90,5.3,1505282400,85.5,100,68,3.96,1505239200,1505660400,80.95824999999999,99.95,49.7,5.59375
140,chabahar,ir,"{'lon': 60.6459285, 'lat': 25.296878}",0,25.3,60.65,1505230872,80.17,100,0,10.56,1505293200,83.27,93,0,6.73,1505239200,1505660400,82.317,91.925,11.4,7.819249999999999
141,yomitan,jp,"{'lon': 127.7442772, 'lat': 26.3960554}",0,26.4,127.74,1505228400,83.08,88,1,16.11,1505304000,85.3,98,64,31.34,1505239200,1505660400,84.60425000000001,98.0,69.5,27.225
142,outjo,na,"{'lon': 16.15, 'lat': -20.116671}",3353715,-20.12,16.15,1505228400,93.2,6,0,2.24,1505304000,91.78,15,0,5.5,1505239200,1505660400,71.712,41.4,9.6,4.91575
143,bambous virieux,mu,"{'lon': 57.7575, 'lat': -20.342779}",1106677,-20.34,57.76,1505228400,73.4,69,75,10.29,1505293200,75.26,71,76,11.1,1505239200,1505660400,72.05625,80.625,33.5,7.6905
144,ribeira grande,pt,"{'lon': -25.468349, 'lat': 37.804588}",8010689,37.8,-25.47,1505228400,75.2,73,75,5.82,1505239200,75.04,100,12,9.33,1505239200,1505660400,72.0505,100.0,52.5,11.41825
146,palabuhanratu,id,"{'lon': 106.5475399, 'lat': -6.9852341}",0,-6.99,106.55,1505230927,70.99,86,68,5.08,1505282400,82.0,71,44,6.64,1505239200,1505660400,74.13624999999999,86.1,35.1,5.75825
147,wuwei,cn,"{'lon': 102.641388, 'lat': 37.928059}",1803936,37.93,102.64,1505230927,54.61,72,64,6.42,1505282400,64.98,61,64,7.09,1505239200,1505660400,55.686,77.025,53.4,4.51675
148,prince george,ca,"{'lon': -122.753014, 'lat': 53.916599}",6113365,53.92,-122.75,1505228400,37.4,88,1,2.24,1505250000,56.09,58,8,3.04,1505239200,1505660400,45.532,71.2,12.9,3.2560000000000002
149,chokurdakh,ru,"{'lon': 147.916672, 'lat': 70.633331}",2126123,70.63,147.92,1505230928,33.82,88,80,13.69,1505282400,36.1,80,80,11.68,1505239200,1505660400,32.621500000000005,87.85,68.3,9.616499999999998
150,port elizabeth,za,"{'lon': 25.57007, 'lat': -33.917992}",964420,-33.92,25.57,1505228400,64.4,88,20,6.93,1505239200,66.18,94,24,13.35,1505239200,1505660400,64.08675000000001,98.75,60.9,15.07225
151,ust-koksa,ru,"{'lon': 85.610802, 'lat': 50.2696}",1488167,50.27,85.61,1505230929,40.66,100,92,3.51,1505293200,38.45,65,64,2.48,1505239200,1505660400,37.3215,70.7,37.2,2.5792499999999996
152,harper,lr,"{'lon': -7.71694, 'lat': 4.375}",2276492,4.38,-7.72,1505230931,73.33,100,92,4.12,1505325600,78.88,100,88,9.13,1505239200,1505660400,77.313,100.0,80.8,10.6435
153,comodoro rivadavia,ar,"{'lon': -67.5, 'lat': -45.866669}",3860443,-45.87,-67.5,1505228400,57.2,28,0,47.2,1505239200,62.47,62,12,25.32,1505239200,1505660400,52.4095,74.7,34.3,22.3565
154,cabo san lucas,mx,"{'lon': -109.912376, 'lat': 22.890881}",3985710,22.89,-109.91,1505227980,83.21,79,5,3.36,1505239200,84.69,98,0,4.07,1505239200,1505660400,80.91875,99.7,54.6,14.220249999999998
155,antalaha,mg,"{'lon': 50.278759, 'lat': -14.90033}",1071296,-14.9,50.28,1505230933,73.24,80,56,14.7,1505304000,76.12,76,20,13.56,1505239200,1505660400,72.46225,83.85,25.2,8.7955
156,bluff,nz,"{'lon': 168.333328, 'lat': -46.599998}",2206939,-46.6,168.33,1505230933,49.84,100,68,9.15,1505271600,54.9,88,68,14.67,1505239200,1505660400,50.448249999999994,98.3,66.4,13.657499999999999
157,saleaula,ws,"{'lon': -172.3367114, 'lat': -13.4482906}",0,-13.45,-172.34,1505230934,82.15,100,88,15.19,1505282400,83.52,98,64,16.37,1505239200,1505660400,82.52175,99.8,53.5,20.006999999999998
158,tumannyy,ru,"{'lon': 35.6675264, 'lat': 68.878911}",0,68.88,35.67,1505230935,49.48,81,56,6.13,1505293200,45.56,86,88,13.0,1505239200,1505660400,42.76875,95.2,76.3,11.412
159,nikolskoye,ru,"{'lon': 166.0015368, 'lat': 55.1981604}",0,55.2,166.0,1505230936,50.02,100,92,12.8,1505260800,50.4,100,8,16.24,1505239200,1505660400,49.102500000000006,99.175,51.8,13.5935
160,broome,au,"{'lon': 121.807213, 'lat': -18.20866}",7839347,-18.21,121.81,1505228400,66.2,93,0,4.7,1505314800,80.73,91,0,7.74,1505239200,1505660400,80.19874999999999,91.0,0.0,11.487750000000002
162,sinnamary,gf,"{'lon': -52.958599, 'lat': 5.3775}",6690707,5.38,-52.96,1505230937,84.13,87,12,11.05,1505325600,84.82,84,0,13.71,1505239200,1505660400,82.16624999999999,92.3,33.8,11.83475
164,puerto madryn,ar,"{'lon': -65.038513, 'lat': -42.769199}",3840092,-42.77,-65.04,1505230938,58.57,61,0,18.84,1505250000,64.83,47,0,9.31,1505239200,1505660400,54.237249999999996,66.1,7.5,13.029
165,kapaa,us,"{'lon': -159.318954, 'lat': 22.075211}",5848280,22.08,-159.32,1505228160,74.37,83,90,6.93,1505260800,84.36,74,88,3.94,1505239200,1505660400,77.33175000000001,91.05,25.3,4.368250000000001
166,rajura,in,"{'lon': 79.366669, 'lat': 19.783331}",1258786,19.78,79.37,1505230939,83.32,81,68,4.63,1505293200,91.91,73,32,5.95,1505239200,1505660400,83.36775,81.275,34.4,5.108749999999999
167,cockburn town,bs,"{'lon': -74.51667, 'lat': 24.033331}",3572627,24.03,-74.52,1505230940,85.75,91,8,14.47,1505239200,86.61,89,56,15.03,1505239200,1505660400,83.59275,96.95,48.2,8.758750000000001
168,fairbanks,us,"{'lon': -147.716385, 'lat': 64.837784}",5861897,64.84,-147.72,1505228280,42.8,93,20,5.82,1505260800,57.94,68,68,10.76,1505239200,1505660400,52.04275,63.725,46.1,8.71375
